year, row, col, elevation, annualDroughtIndex, seasonalDroughtIndex, annualDegreeDaySum, seasonalDegreeDaySum, minimumTemperature, AET, PET, annualPrecipitationSum
52, 2, 2, 890, 0.0897984, 0.0897984, 1370.21, 1262.9, -0.7, 51.3247, 54.7145, 120.18
53, 2, 2, 890, 1.32443e-08, 1.32443e-08, 1461.81, 1389.93, -2.6, 54.9319, 54.9319, 154.21
54, 2, 2, 890, 0.0602803, 0.0602803, 1540.82, 1428.16, -0.6, 53.2962, 56.8664, 135.58
55, 2, 2, 890, 0.0409417, 0.0409417, 1445.47, 1368.3, -2.8, 51.8737, 53.8115, 165.43
56, 2, 2, 890, 0.0209831, 0.0209831, 1463.93, 1299.51, 2, 56.7127, 57.6602, 159.96
57, 2, 2, 890, 0.228408, 0.274089, 1881.11, 1717.75, -2, 46.9493, 59.686, 90.79
58, 2, 2, 890, 0.0252918, 0.0252918, 1386.31, 1313.36, -1.5, 53.0148, 54.1628, 110.46
59, 2, 2, 890, 0.131792, 0.131792, 1511.7, 1452.01, -3.8, 48.4042, 55.348, 99.95
60, 2, 2, 890, 0.160785, 0.187583, 1739.09, 1604.22, -1.7, 44.0135, 56.634, 147.08
61, 2, 2, 890, 0.00388501, 0.00388501, 1497.83, 1391.95, 1.2, 57.6277, 57.8169, 148.84
62, 2, 2, 890, 0.0317643, 0.0317643, 1403.93, 1298.31, -0.1, 53.6006, 55.0307, 110.51
63, 2, 2, 890, 0.24159, 0.24159, 1579.75, 1489.8, -1.5, 44.6836, 55.8188, 80.93
64, 2, 2, 890, 0.0800261, 0.0800261, 1291.52, 1248.56, -3.3, 46.9487, 52.2413, 90.83
65, 2, 2, 890, 0.107891, 0.123304, 1740.18, 1515.31, -0.2, 54.1986, 59.0941, 118.19
66, 2, 2, 890, 0.000319226, 0.000372428, 1569.65, 1422.35, -5.1, 56.5939, 56.6091, 171.41
67, 2, 2, 890, 0.0951769, 0.0951769, 1326.47, 1262.05, -2.4, 50.0273, 54.1018, 147.41
68, 2, 2, 890, 0.222003, 0.222003, 1729.23, 1658.09, -4.2, 47.1145, 57.8598, 127.13
69, 2, 2, 890, 3.29427e-09, 4.2355e-09, 1363.19, 1162.96, -1.2, 56.5628, 56.5628, 150.44
70, 2, 2, 890, 0.220633, 0.220633, 1540.34, 1479.34, -0.5, 41.7843, 54.5715, 92.14
71, 2, 2, 890, 0.0751996, 0.0751996, 1449.15, 1380.81, -3.5, 50.927, 54.5373, 167.44
72, 2, 2, 890, 0.0246808, 0.0246808, 1312.33, 1203.6, -1, 51.5412, 52.6776, 136.04
73, 2, 2, 890, 0.304138, 0.304138, 1336.27, 1289.58, -2.5, 37.2902, 53.2001, 176.4
74, 2, 2, 890, 0.0497669, 0.0568765, 1500.99, 1301.16, -2.8, 54.4291, 56.8368, 95.8
75, 2, 2, 890, 9.69558e-09, 9.69558e-09, 1112.64, 1013.24, -4.9, 52.1823, 52.1823, 155.34
76, 2, 2, 890, 0.0301648, 0.0301648, 1152.94, 1069.83, -2.6, 51.0398, 52.3281, 140.76
77, 2, 2, 890, 7.78317e-09, 7.78317e-09, 1101.86, 1054.49, -10.7, 49.8066, 49.8066, 160.84
78, 2, 2, 890, 8.58468e-09, 1.03016e-08, 1268.59, 1115.25, -0.1, 54.4112, 54.4112, 135.08
79, 2, 2, 890, 1.79275e-08, 1.79275e-08, 1380.8, 1284.41, -2.3, 52.6495, 52.6495, 176.94
80, 2, 2, 890, 0.164961, 0.164961, 1546.37, 1381.33, -1.1, 50.4957, 57.8684, 108.87
81, 2, 2, 890, 1.58786e-08, 1.58786e-08, 1191.4, 1104.25, -1.4, 53.1205, 53.1205, 176.29
82, 2, 2, 890, 1.27144e-08, 1.27144e-08, 1468.2, 1320.49, -0.5, 56.223, 56.223, 192.85
83, 2, 2, 890, 0.129111, 0.129111, 1143.21, 1107.74, -2.8, 43.9935, 49.4529, 141.27
84, 2, 2, 890, 0.0329137, 0.0329137, 1276.77, 1188.89, -6.5, 51.1932, 53.1181, 153.56
85, 2, 2, 890, 0.16647, 0.16647, 1431.3, 1346.26, -0.2, 46.5499, 54.3885, 119.56
86, 2, 2, 890, 1.03356e-08, 1.03356e-08, 1120.99, 1072.51, -5, 50.2548, 50.2548, 222.96
87, 2, 2, 890, 4.1083e-09, 4.1083e-09, 1307.53, 1233.84, -2.3, 52.7049, 52.7049, 188.67
88, 2, 2, 890, 0.103655, 0.103655, 1352.2, 1250.85, -2, 48.2136, 53.2595, 152.09
89, 2, 2, 890, 0.0231369, 0.0231369, 1223.2, 1142.63, -1.9, 51.2758, 52.4573, 182.21
90, 2, 2, 890, 0.157392, 0.157392, 1343.77, 1289.33, -3.8, 46.5669, 52.9056, 156.74
91, 2, 2, 890, 0.00614411, 0.00614411, 1281.66, 1195.36, -2.7, 50.5542, 50.8006, 210.52
92, 2, 2, 890, 0.176873, 0.176873, 1445.12, 1351.74, -2.9, 46.8684, 54.8868, 105.74
93, 2, 2, 890, 0.0822516, 0.0822516, 1134.12, 975.377, 0, 51.6636, 54.1622, 119.72
94, 2, 2, 890, 0.0736477, 0.0736477, 1340.61, 1276.77, -2.3, 47.9616, 51.3343, 162.61
95, 2, 2, 890, 0.0457868, 0.0457868, 1139.66, 1019.27, 0.5, 51.0412, 52.7305, 173.23
96, 2, 2, 890, 0.0298439, 0.0298439, 1310.08, 1228.56, -0.3, 51.6056, 53.0098, 122.55
97, 2, 2, 890, 0.117068, 0.117068, 1392.56, 1323.64, -0.8, 48.6823, 53.5345, 115.86
98, 2, 2, 890, 2.15621e-08, 2.15621e-08, 1230.31, 1113.02, -0.7, 53.4137, 53.4137, 194
99, 2, 2, 890, 1.55886e-08, 1.55886e-08, 1148.23, 1029.97, -1.2, 52.4196, 52.4196, 174.77
100, 2, 2, 890, 0.0294791, 0.0294791, 1260.59, 1193.79, -3.4, 50.8178, 52.2203, 179.64
101, 2, 2, 890, 0.0139894, 0.0139894, 1102.43, 1041.67, -2, 49.4274, 50.0255, 189.79
102, 2, 2, 890, 0.0227325, 0.0227325, 1247.27, 1161.87, -2.3, 52.3345, 53.5697, 215.8
103, 2, 2, 890, 0.0029971, 0.0029971, 1455.31, 1337.92, 0.4, 54.4275, 54.5471, 172.16
104, 2, 2, 890, 0.249295, 0.249295, 1564.58, 1440.02, -3.2, 41.5123, 56.4764, 137.22
105, 2, 2, 890, 0.0321734, 0.0375356, 1234.13, 1089.04, -3.5, 49.6787, 51.3033, 146.92
106, 2, 2, 890, 0.10353, 0.10353, 1379.45, 1326.42, -5.5, 47.4034, 51.986, 137.42
107, 2, 2, 890, 0.0102295, 0.0102295, 1410.78, 1313.61, -5.4, 53.5348, 53.9617, 167.27
108, 2, 2, 890, 4.5166e-09, 4.5166e-09, 1370.43, 1275.17, -3.6, 52.9309, 52.9309, 175.95
109, 2, 2, 890, 8.38058e-09, 8.38058e-09, 1391.66, 1316.14, -0.8, 54.5438, 54.5438, 194.22
110, 2, 2, 890, 1.84887e-08, 1.84887e-08, 1548.25, 1309.43, 2.9, 58.5617, 58.5617, 130.06
111, 2, 2, 890, 0.0289002, 0.0289002, 1479.89, 1327.71, -1.4, 55.3492, 56.6224, 132.22
112, 2, 2, 890, 0.258697, 0.258697, 1394.33, 1264.51, -1.4, 45.7448, 54.2571, 106.83
113, 2, 2, 890, 0.123171, 0.147805, 1534.5, 1380.31, 1.5, 51.6571, 57.1183, 113.19
114, 2, 2, 890, 0.0120258, 0.0120258, 1338.4, 1249.9, 0.9, 55.179, 55.7951, 116.14
115, 2, 2, 890, 0.0403621, 0.0470892, 1632.63, 1437.24, 0.5, 55.2467, 57.4868, 146.94
116, 2, 2, 890, 0.0461084, 0.0461084, 1420.46, 1340.47, -1.4, 51.1748, 53.7385, 138.08
117, 2, 2, 890, 0.0080817, 0.0080817, 1212.17, 1105.95, -2.6, 53.0185, 53.4205, 103.97
118, 2, 2, 890, 0.115091, 0.115091, 1516.93, 1335.43, 1.2, 51.8562, 57.1961, 116.86
