row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,DBH,height,availableLight,light_rf,LeafArea,nitorgen_rf,droughtIndex,moisture_rf,degreeDay_rf,deadbole
0,0,0,3445529,5387104,1,888,piceabie,0,0.0136,20,0,8.4839,7.7661,0.2136,0.0000,3.4202,0.0000,0.0021,0.0000,0.0000,15.1457
0,0,0,3445529,5387104,1,888,fagusilv,180,14.1951,1,0,137.5690,41.4982,0.6633,0.9563,3.4202,0.0000,0.0021,0.9965,0.6014,15.1457
0,0,0,3445529,5387104,1,888,fagusilv,0,0.0160,24,0,7.6115,7.0534,0.2682,0.0000,3.4202,0.0000,0.0021,0.0000,0.0000,15.1457
0,1,1,3445554,5387104,1,891,fagusilv,230,16.5863,2,0,149.3506,42.1786,0.3890,0.8170,5.7227,0.0000,0.0081,0.9864,0.5998,0.8653
0,2,2,3445579,5387104,1,893,piceabie,30,0.0450,4,0,13.1424,10.9656,0.7165,0.8700,4.0722,0.0000,0.0000,1.0000,0.7443,17.8229
0,2,2,3445579,5387104,1,893,piceabie,20,0.0336,25,0,11.7877,10.0568,0.4868,0.7024,4.0722,0.0000,0.0000,1.0000,0.7443,17.8229
0,2,2,3445579,5387104,1,893,piceabie,10,0.0175,21,0,9.2936,8.3375,0.2089,0.3412,4.0722,0.0000,0.0000,1.0000,0.7443,17.8229
0,2,2,3445579,5387104,1,893,piceabie,0,0.0124,9,0,8.2175,7.5768,0.1402,0.0000,4.0722,0.0000,0.0000,0.0000,0.0000,17.8229
0,2,2,3445579,5387104,1,893,fagusilv,30,0.0617,2,0,13.0006,10.6238,0.9852,0.9982,4.0722,0.0000,0.0000,1.0000,0.5987,17.8229
0,2,2,3445579,5387104,1,893,fagusilv,20,0.0451,14,0,11.4890,9.6576,0.8785,0.9906,4.0722,0.0000,0.0000,1.0000,0.5987,17.8229
0,2,2,3445579,5387104,1,893,fagusilv,10,0.0269,31,0,9.3545,8.2469,0.3015,0.7264,4.0722,0.0000,0.0000,1.0000,0.5987,17.8229
0,2,2,3445579,5387104,1,893,fagusilv,0,0.0159,16,0,7.5955,7.0422,0.1599,0.0000,4.0722,0.0000,0.0000,0.0000,0.0000,17.8229
0,2,2,3445579,5387104,1,893,querpetr,20,0.0393,9,0,10.8760,8.6487,0.6385,0.7510,4.0722,0.0000,0.0000,1.0000,0.5641,17.8229
0,2,2,3445579,5387104,1,893,querpetr,10,0.0161,2,0,7.6290,6.7487,0.1698,0.1493,4.0722,0.0000,0.0000,1.0000,0.5641,17.8229
0,3,3,3445604,5387104,1,896,fagusilv,280,17.1580,1,0,152.0768,42.3161,0.6145,0.9420,4.2736,0.0000,0.0000,1.0000,0.5970,2.2435
0,3,3,3445604,5387104,1,896,fagusilv,110,2.8226,2,0,63.1018,31.2820,0.1838,0.5155,4.2736,0.0000,0.0000,1.0000,0.5970,2.2435
0,4,4,3445629,5387104,1,898,abiealba,20,0.0351,5,0,11.9755,10.2086,0.2917,0.7255,4.5870,0.0000,0.0000,1.0000,0.6377,9.7342
0,4,4,3445629,5387104,1,898,piceabie,20,0.0313,21,0,11.4794,9.8475,0.2367,0.4068,4.5870,0.0000,0.0000,1.0000,0.7425,9.7342
0,4,4,3445629,5387104,1,898,piceabie,10,0.0170,23,0,9.1950,8.2683,0.1305,0.1886,4.5870,0.0000,0.0000,1.0000,0.7425,9.7342
0,4,4,3445629,5387104,1,898,fagusilv,110,2.8656,3,0,63.5317,31.3897,0.7180,0.9697,4.5870,0.0000,0.0000,1.0000,0.5959,9.7342
0,4,4,3445629,5387104,1,898,fagusilv,20,0.0426,11,0,11.2274,9.4877,0.3439,0.7867,4.5870,0.0000,0.0000,1.0000,0.5959,9.7342
0,4,4,3445629,5387104,1,898,fagusilv,10,0.0267,14,0,9.3299,8.2304,0.1686,0.5001,4.5870,0.0000,0.0000,1.0000,0.5959,9.7342
