row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,DBH,height,availableLight,light_rf,LeafArea,nitorgen_rf,droughtIndex,moisture_rf,degreeDay_rf,deadbole
0,0,0,3445529,5387104,1,888,piceabie,10,0.0144,33,0,8.6538,7.8866,0.1434,0.2556,4.5398,0.0000,0.0574,0.8443,0.7586,16.2127
0,0,0,3445529,5387104,1,888,piceabie,0,0.0113,4,0,7.9325,7.3734,0.1065,0.0000,4.5398,0.0000,0.0574,0.0000,0.0000,16.2127
0,0,0,3445529,5387104,1,888,fagusilv,150,12.6415,1,0,129.5284,40.9419,0.6903,0.9630,4.5398,0.0000,0.0574,0.8992,0.6212,16.2127
0,0,0,3445529,5387104,1,888,fagusilv,10,0.0272,43,0,9.3909,8.2715,0.2706,0.6866,4.5398,0.0000,0.0574,0.8992,0.6212,16.2127
0,0,0,3445529,5387104,1,888,fagusilv,0,0.0151,14,0,7.4341,6.9298,0.1789,0.0000,4.5398,0.0000,0.0574,0.0000,0.0000,16.2127
0,1,1,3445554,5387104,1,891,abiealba,60,0.1798,3,0,22.4239,16.8244,0.1361,0.4195,6.2937,0.0000,0.0751,0.8555,0.6591,4.6326
0,1,1,3445554,5387104,1,891,piceabie,60,0.0750,1,10,15.9562,12.7986,0.0601,0.0000,6.2937,0.0000,0.0751,0.7903,0.7577,4.6326
0,1,1,3445554,5387104,1,891,fagusilv,110,3.8127,3,0,72.3407,33.4197,0.6616,0.9578,6.2937,0.0000,0.0751,0.8659,0.6197,4.6326
0,1,1,3445554,5387104,1,891,fagusilv,60,0.3700,9,0,26.6391,18.2298,0.2280,0.6275,6.2937,0.0000,0.0751,0.8659,0.6197,4.6326
0,1,1,3445554,5387104,1,891,fagusilv,50,0.1305,14,0,17.5148,13.3546,0.0863,0.2561,6.2937,0.0000,0.0751,0.8659,0.6197,4.6326
0,1,1,3445554,5387104,1,891,fagusilv,40,0.0400,17,0,10.9489,9.3059,0.0535,0.1157,6.2937,0.0000,0.0751,0.8659,0.6197,4.6326
0,1,1,3445554,5387104,1,891,fagusilv,30,0.0193,1,10,8.1907,7.4542,0.0440,0.0738,6.2937,0.0000,0.0751,0.8659,0.6197,4.6326
0,1,1,3445554,5387104,1,891,fagusilv,20,0.0138,2,10,7.1649,6.7414,0.0435,0.0714,6.2937,0.0000,0.0751,0.8659,0.6197,4.6326
0,1,1,3445554,5387104,1,891,querpetr,60,0.1553,4,5,18.7745,12.4853,0.1149,0.0522,6.2937,0.0000,0.0751,0.8644,0.5870,4.6326
0,2,2,3445579,5387104,1,893,fagusilv,200,15.6333,2,0,144.7327,41.9292,0.4085,0.8352,5.4252,0.0000,0.0702,0.8752,0.6188,4.7547
0,3,3,3445604,5387104,1,896,fagusilv,110,3.5573,2,0,70.0770,32.9289,0.1861,0.5211,4.4224,0.0000,0.0603,0.8939,0.6173,1.9838
0,3,3,3445604,5387104,1,896,querpetr,330,16.4587,1,0,148.7381,24.8463,0.6257,0.7437,4.4224,0.0000,0.0603,0.8928,0.5843,1.9838
0,4,4,3445629,5387104,1,898,piceabie,0,0.0119,12,0,8.1026,7.4948,0.1982,0.0000,3.4224,0.0000,0.0654,0.0000,0.0000,13.2448
0,4,4,3445629,5387104,1,898,fagusilv,150,10.6251,1,0,118.5174,40.0340,0.7271,0.9706,3.4224,0.0000,0.0654,0.8843,0.6163,13.2448
0,4,4,3445629,5387104,1,898,fagusilv,70,0.4497,6,0,28.8471,19.2920,0.3202,0.7551,3.4224,0.0000,0.0654,0.8843,0.6163,13.2448
0,4,4,3445629,5387104,1,898,fagusilv,0,0.0162,9,0,7.6559,7.0843,0.2193,0.0000,3.4224,0.0000,0.0654,0.0000,0.0000,13.2448
0,5,5,3445654,5387104,1,901,abiealba,20,0.0319,1,0,11.5560,9.9228,0.1436,0.4245,4.8905,0.0000,0.0645,0.8774,0.6547,4.8383
0,5,5,3445654,5387104,1,901,piceabie,30,0.0224,12,0,10.1452,8.9314,0.1328,0.1851,4.8905,0.0000,0.0645,0.8232,0.7546,4.8383
0,5,5,3445654,5387104,1,901,piceabie,20,0.0166,5,0,9.1053,8.2052,0.1138,0.1375,4.8905,0.0000,0.0645,0.8232,0.7546,4.8383
0,5,5,3445654,5387104,1,901,piceabie,10,0.0125,19,0,8.2398,7.5926,0.1008,0.1033,4.8905,0.0000,0.0645,0.8232,0.7546,4.8383
0,5,5,3445654,5387104,1,901,fagusilv,180,15.0968,1,0,142.0889,41.7767,0.6481,0.9523,4.8905,0.0000,0.0645,0.8861,0.6148,4.8383
0,5,5,3445654,5387104,1,901,fagusilv,30,0.0800,21,0,14.4148,11.5037,0.2230,0.6017,4.8905,0.0000,0.0645,0.8861,0.6148,4.8383
0,5,5,3445654,5387104,1,901,fagusilv,20,0.0454,3,0,11.5154,9.6747,0.1500,0.4415,4.8905,0.0000,0.0645,0.8861,0.6148,4.8383
0,6,6,3445679,5387104,1,904,fagusilv,110,2.2098,3,0,56.5835,29.5404,0.1860,0.5214,4.4682,0.0000,0.0591,0.8960,0.6133,0.9826
0,6,6,3445679,5387104,1,904,querpetr,330,16.3190,1,0,148.0651,24.8428,0.6280,0.7457,4.4682,0.0000,0.0591,0.8949,0.5800,0.9826
0,7,7,3445704,5387104,1,906,abiealba,10,0.0198,2,0,9.7109,8.6461,0.1163,0.3371,4.7062,0.0000,0.0602,0.8860,0.6525,9.7017
0,7,7,3445704,5387104,1,906,piceabie,20,0.0200,13,0,9.7454,8.6535,0.1343,0.1829,4.7062,0.0000,0.0602,0.8361,0.7530,9.7017
0,7,7,3445704,5387104,1,906,piceabie,10,0.0133,6,0,8.4164,7.7182,0.0999,0.1256,4.7062,0.0000,0.0602,0.8361,0.7530,9.7017
0,7,7,3445704,5387104,1,906,fagusilv,170,14.4789,1,0,139.0028,41.5891,0.6584,0.9551,4.7062,0.0000,0.0602,0.8941,0.6123,9.7017
0,7,7,3445704,5387104,1,906,fagusilv,20,0.0511,23,0,12.0643,10.0285,0.2424,0.6349,4.7062,0.0000,0.0602,0.8941,0.6123,9.7017
0,7,7,3445704,5387104,1,906,fagusilv,10,0.0252,11,0,9.1180,8.0872,0.1707,0.4863,4.7062,0.0000,0.0602,0.8941,0.6123,9.7017
0,7,7,3445704,5387104,1,906,fagusilv,0,0.0139,13,0,7.1898,6.7588,0.1099,0.0000,4.7062,0.0000,0.0602,0.0000,0.0000,9.7017
0,7,7,3445704,5387104,1,906,querpetr,20,0.0237,7,0,8.9024,7.5188,0.1517,0.1151,4.7062,0.0000,0.0602,0.8929,0.5789,9.7017
0,8,8,3445729,5387104,1,909,fagusilv,150,9.5339,2,0,112.2236,39.4266,0.1371,0.3965,6.3327,0.0000,0.0713,0.8731,0.6108,1.6400
0,8,8,3445729,5387104,1,909,querpetr,330,16.2722,1,0,147.8390,24.8416,0.6287,0.7463,6.3327,0.0000,0.0713,0.8717,0.5773,1.6400
0,9,9,3445754,5387104,1,911,fagusilv,140,8.8010,3,0,107.8361,38.9596,0.4430,0.8656,4.9345,0.0000,0.0568,0.9003,0.6098,11.8320
0,10,10,3445779,5387104,1,914,abiealba,0,0.0155,2,0,8.8914,8.0686,0.1865,0.0000,3.5125,0.0000,0.0458,0.0000,0.0000,15.9304
0,10,10,3445779,5387104,1,914,piceabie,10,0.0156,17,0,8.9156,8.0716,0.2191,0.3927,3.5125,0.0000,0.0458,0.8781,0.7504,15.9304
0,10,10,3445779,5387104,1,914,piceabie,0,0.0124,5,0,8.2040,7.5672,0.1796,0.0000,3.5125,0.0000,0.0458,0.0000,0.0000,15.9304
0,10,10,3445779,5387104,1,914,fagusilv,10,0.0255,24,0,9.1573,8.1138,0.3084,0.7364,3.5125,0.0000,0.0458,0.9206,0.6083,15.9304
0,10,10,3445779,5387104,1,914,fagusilv,0,0.0172,7,0,7.8363,7.2095,0.2471,0.0000,3.5125,0.0000,0.0458,0.0000,0.0000,15.9304
0,10,10,3445779,5387104,1,914,querpetr,160,12.0606,1,0,126.4291,24.6730,0.7007,0.8082,3.5125,0.0000,0.0458,0.9197,0.5746,15.9304
0,11,11,3445804,5387104,1,916,piceabie,0,0.0116,6,0,8.0107,7.4293,0.1292,0.0000,4.1834,0.0000,0.0650,0.0000,0.0000,9.8958
0,11,11,3445804,5387104,1,916,fagusilv,10,0.0195,44,0,8.2356,7.4852,0.2166,0.5848,4.1834,0.0000,0.0650,0.8851,0.6073,9.8958
0,11,11,3445804,5387104,1,916,fagusilv,0,0.0157,21,0,7.5543,7.0135,0.1499,0.0000,4.1834,0.0000,0.0650,0.0000,0.0000,9.8958
0,11,11,3445804,5387104,1,916,querpetr,330,15.9226,1,0,146.1444,24.8322,0.6344,0.7513,4.1834,0.0000,0.0650,0.8839,0.5735,9.8958
0,12,12,3445829,5387104,1,919,fagusilv,0,0.0135,31,0,7.1185,6.7088,0.2336,0.0000,3.2451,0.0000,0.0701,0.0000,0.0000,12.2197
