decade, abiealba, piceabie, fagusilv, pinusilv, querpetr, elevation, area
0, 0, 8.81327, 7.1812, 10.7186, 3.11559, 892, 0.75
0, 0.255923, 6.88124, 6.76969, 15.3871, 3.92089, 893, 0.875
0, 0.358273, 8.69195, 8.93538, 12.5678, 4.36433, 894, 1.25
0, 0.111456, 8.61175, 7.91622, 12.2257, 4.27598, 895, 0.9375
0, 0, 6.51609, 8.10051, 15.5725, 3.36565, 896, 0.75
0, 0.358211, 10.1991, 8.03052, 11.0641, 4.8861, 897, 1.125
0, 0.397988, 7.83933, 8.75495, 13.5256, 5.3075, 898, 0.9375
0, 0.238778, 8.16277, 7.33884, 10.3414, 5.07059, 899, 0.875
0, 0.119382, 6.43213, 6.46088, 11.6856, 6.29166, 900, 0.75
0, 0.185693, 8.93914, 8.70309, 11.6553, 4.57665, 901, 1.125
0, 0.0954934, 8.87983, 6.76722, 12.8615, 4.03737, 902, 0.9375
0, 0.318279, 7.45552, 8.1566, 13.8468, 4.47776, 903, 0.9375
0, 0.260382, 9.312, 6.9585, 9.35914, 4.71861, 904, 0.6875
0, 0.0842321, 9.3187, 5.7744, 10.6031, 6.35611, 905, 1.0625
0, 0.664758, 9.82023, 8.55647, 8.98206, 5.47931, 906, 0.875
0, 0.0954419, 7.70717, 9.37591, 13.1662, 3.90226, 907, 0.9375
0, 0.119289, 7.93672, 9.87607, 10.6838, 5.77981, 908, 0.75
0, 0.1101, 10.655, 7.19357, 12.9472, 4.82892, 909, 0.8125
0, 0, 8.92987, 7.60373, 10.4077, 4.18793, 910, 1
0, 0.365703, 9.46896, 5.55822, 14.8773, 2.9024, 911, 0.9375
0, 0, 9.89273, 7.05706, 12.7436, 5.234, 912, 0.75
0, 0, 12.6158, 6.18909, 10.0468, 3.43122, 913, 0.75
0, 0.206644, 10.8868, 7.50577, 10.7257, 3.78368, 914, 0.9375
0, 0.236718, 9.48464, 7.44407, 15.9772, 3.7277, 915, 0.8125
0, 0.416217, 7.56652, 6.31602, 13.2887, 2.77557, 916, 0.8125
0, 0.11762, 7.51675, 7.00963, 11.5562, 3.79509, 917, 0.75
0, 0.108566, 7.76278, 6.15852, 15.501, 2.97114, 918, 0.8125
0, 0.100806, 10.4039, 4.1124, 12.6699, 2.68525, 919, 0.875
0, 0.537602, 6.92442, 7.53814, 10.2724, 4.07266, 920, 0.875
0, 0.448993, 8.21919, 5.89771, 12.9813, 2.78866, 921, 0.6875
0, 0.271353, 9.73237, 5.88259, 10.39, 3.40106, 922, 0.8125
0, 0.302347, 8.07138, 6.05628, 12.4123, 3.94222, 923, 0.875
0, 0.262808, 6.94808, 6.50048, 13.2568, 4.1925, 924, 1.0625
0, 0, 9.42793, 5.96516, 15.3125, 2.88451, 925, 1.0625
0, 0.16458, 7.75698, 5.78832, 12.4177, 3.29391, 926, 1.25
0, 0.127345, 9.08414, 6.70352, 12.1756, 3.85054, 927, 1.5
0, 0.316457, 7.19337, 5.7407, 15.1097, 3.07253, 928, 1.625
0, 0.216984, 7.0854, 5.60395, 14.1532, 3.63123, 929, 1.625
0, 0.225648, 8.70038, 6.15975, 12.7629, 4.26541, 930, 1.5625
0, 0.109123, 7.08572, 6.98376, 13.819, 3.27922, 931, 1.75
0, 0.171744, 7.66609, 7.50995, 11.0283, 3.90333, 932, 1.625
0, 0.108462, 7.57603, 6.66571, 14.8859, 3.4612, 933, 1.625
0, 0.131591, 7.9996, 7.56578, 12.7137, 4.40422, 934, 1.5625
0, 0.108447, 8.90913, 5.71418, 11.8128, 2.99897, 935, 1.625
0, 0.0895049, 9.06755, 8.54804, 12.5707, 2.24427, 936, 1.3125
0, 0, 9.29268, 7.03883, 11.7836, 3.20726, 937, 1.6875
0, 0.0587288, 8.65831, 5.80946, 11.5212, 4.20146, 938, 1.5
0, 0.117449, 8.54012, 6.9512, 11.5809, 3.2352, 939, 1.5
